Model,CPU_Time_ms,GPU_Time_ms,Speedup,CPU_Distance_U,GPU_Distance_U,Rel_Diff,Distance_Match
arm,1513.17,65.2479,23.1910,0.00348171,0.00348171,0,PASS
bumpy,358.429,12.0469,29.7527,0.0816982,0.0816982,0,PASS
camel_b,407.071,17.7699,22.9078,1.13344,1.13327,.0001499858,PASS
elephant,1292.46,56.4321,22.9029,0.597479,0.597037,.0007396536,PASS
face,9931.42,446.058,22.2648,0.0514086,0.0514086,0,PASS
hand-tri,319.376,15.3792,20.7667,3.12989,3.12041,.0030288604,FAIL
inspired_mesh,5681.77,168.122,33.7955,0.0199222,0.0199205,0,PASS
lilium,555.063,21.7727,25.4935,0.00428222,0.00427931,0,PASS
snail,224.581,7.86492,28.5547,0.0121504,0.0121217,.0023278412,FAIL
truck,634.255,35.5171,17.8577,0.0851307,0.0851307,0,PASS
armadillo,9346.21,426.641,21.9064,0.418862,0.417467,.0033304310,FAIL
bimba,20161.8,902.708,22.3347,0.000530986,0.000526484,0,PASS
happy,8332.59,472.069,17.6512,0.000691173,0.000685561,0,PASS
homer,1164.27,53.7634,21.6554,0.00483956,0.00461967,.0454117306,FAIL
horse,7517.72,333.986,22.5090,0.000784346,0.000784346,0,PASS
cow,376.775,17.8544,21.1026,0.16358,0.163618,.0002287351,PASS
beast,,,,,,,GPU_RUN_FAIL
bunny,12003.8,507.975,23.6306,0.00368785,0.00369256,0,PASS
