Model,CPU_Time_ms,GPU_Time_ms,Speedup,CPU_Distance_U,GPU_Distance_U,Rel_Diff,Distance_Match
arm,1513.17,89.023,16.9975,0.00348171,0.00348171,0,PASS
bumpy,358.429,17.41,20.5875,0.0816982,0.0816982,0,PASS
camel_b,407.071,23.0631,17.6503,1.13344,1.13327,.0001499858,PASS
elephant,1292.46,76.7583,16.8380,0.597479,0.597037,.0007396536,PASS
face,9931.42,645.448,15.3868,0.0514086,0.0514086,0,PASS
hand-tri,319.376,19.817,16.1162,3.12989,3.12041,.0030288604,FAIL
inspired_mesh,5681.77,259.073,21.9311,0.0199222,0.0199205,0,PASS
lilium,555.063,30.4407,18.2342,0.00428222,0.00427931,0,PASS
snail,224.581,11.1633,20.1177,0.0121504,0.0121217,.0023278412,FAIL
truck,634.255,44.091,14.3851,0.0851307,0.0851307,0,PASS
armadillo,9346.21,545.558,17.1314,0.418862,0.417467,.0033304310,FAIL
bimba,20161.8,1185.75,17.0034,0.000530986,0.000526484,0,PASS
happy,8332.59,615.589,13.5359,0.000691173,0.000688367,0,PASS
homer,1164.27,70.181,16.5895,0.00483956,0.00461967,.0454117306,FAIL
horse,7517.72,428.226,17.5554,0.000784346,0.000784346,0,PASS
cow,376.775,23.1383,16.2836,0.16358,0.163618,.0002287351,PASS
beast,,,,,,,GPU_RUN_FAIL
bunny,12003.8,686.266,17.4914,0.00368785,0.00369256,0,PASS
